Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Adam Plutko,$6.4K,R,CLE,SP,DET, , ,2.50%,5.632, ,-1,9.5,-156,5.26,-0.04,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,14.08,2.2,4,0.576,,0.555,4.30,5,0.307,,0.182,4.30,2,4.73,0.00,0.50,0.427,4.30,0.00,0.00,4,0.529,,0.464,3.20,5,0.350,,0.369,3.20,3,4.94,0.00,0.46,0.430,3.20,0.00,0.00,4,0.483,,0.426,3.10,5,0.259,,0.280,6.30,4,4.46,0.00,0.31,0.359,4.90,0.00,0.00,4,0.483,,0.426,3.10,5,0.259,,0.280,6.30,4,4.46,0.00,0.31,0.359,4.90,0.00,0.00
Jefry Rodriguez,$5.9K,R,WAS,SP,PHI, , ,0.00%, ,-100,-3,9.0,-119,4.64,0.05,5,0.911,,1.500,0.00,4,0.330,,0.251,10.80,1,3.70,0.00,0.67,0.653,4.80,0.00,0.00,12.66,2.15,5,0.911,,1.500,0.00,4,0.330,,0.251,10.80,1,3.70,0.00,0.67,0.653,4.80,0.00,0.00,5,0.480,,0.357,0.00,4,0.261,,0.197,8.80,2,3.93,0.00,0.25,0.383,3.90,0.00,0.00,5,0.480,,0.357,0.00,4,0.261,,0.197,8.80,2,3.93,0.00,0.25,0.383,3.90,0.00,0.00,5,0.480,,0.357,0.00,4,0.261,,0.197,8.80,2,3.93,0.00,0.25,0.383,3.90,0.00,0.00
Nick Pivetta,$7.5K,R,PHI,SP,@ WAS, , ,0.00%, ,-1000,7,9.0,106,4.36,-0.05,4,0.696,,0.667,2.50,5,0.124,,0.142,13.90,1,0.23,0.00,0.40,0.378,8.90,0.00,0.00,15.56,2.07,4,0.469,,0.267,3.00,5,0.279,,0.219,10.40,2,2.12,0.00,0.27,0.363,7.10,0.00,0.00,4,0.368,,0.225,4.80,5,0.319,,0.143,6.90,5,2.81,0.00,0.23,0.341,6.00,0.00,0.00,4,0.328,,0.167,4.20,5,0.259,,0.118,6.80,14,2.63,0.00,0.18,0.290,5.60,0.00,0.00,4,0.315,,0.135,4.80,5,0.358,,0.225,5.50,40,3.36,0.00,0.25,0.339,5.20,0.00,0.00
Jason Hammel,$5.0K,R,KCR,SP,@ HOU, , ,2.00%,5.180,-2000,12,7.5,273,2.58,-0.03,3,0.497,,0.045,3.50,6,0.332,,0.200,3.50,1,5.68,0.00,0.00,0.387,3.50,0.00,0.00,10.36,2.07,3,0.326,,0.050,2.20,6,0.317,,0.143,2.90,2,4.83,0.00,0.00,0.320,2.70,0.00,0.00,3,0.319,,0.147,3.70,6,0.340,,0.132,4.30,5,3.83,0.00,0.09,0.333,4.10,0.00,0.00,3,0.317,,0.172,3.60,6,0.349,,0.142,3.50,13,4.39,0.00,0.11,0.338,3.50,0.00,0.00,3,0.327,,0.167,3.90,6,0.338,,0.149,3.60,44,4.11,0.00,0.14,0.334,3.70,0.00,0.00
Chris Sale,$13.4K,L,BOS,SP,SEA, , ,30.00%,0.866,2100,-1,8.5,-229,5.24,0.33,3,0.120,,0.000,3.90,6,0.185,,0.053,10.30,1,1.26,0.00,0.00,0.163,8.10,0.00,0.00,25.97,1.94,3,0.176,,0.000,2.10,6,0.191,,0.026,11.80,2,2.12,0.00,0.00,0.186,8.50,0.00,0.00,3,0.261,,0.111,1.70,6,0.243,,0.080,11.00,5,2.43,0.00,0.14,0.249,7.90,0.00,0.00,3,0.251,,0.053,2.20,6,0.261,,0.147,12.40,13,2.05,0.00,0.18,0.258,9.00,0.00,0.00,3,0.239,,0.069,2.00,6,0.269,,0.158,11.90,46,1.76,0.00,0.19,0.259,8.60,0.00,0.00
Carlos Rodon,$8.4K,L,CHW,SP,OAK, , ,10.00%,1.608,1600,-7,9.0,-114,4.58,0.02,1,0.098,,0.000,3.00,8,0.330,,0.000,4.40,1,4.25,0.00,0.00,0.304,4.30,0.00,0.00,16.08,1.91,1,0.080,,0.000,4.40,8,0.325,,0.116,8.80,1,4.30,0.00,0.09,0.298,8.40,0.00,0.00,1,0.236,,0.166,4.00,8,0.322,,0.148,8.90,2,3.43,0.00,0.20,0.312,8.40,0.00,0.00,1,0.236,,0.166,4.00,8,0.322,,0.148,8.90,2,3.43,0.00,0.20,0.312,8.40,0.00,0.00,1,0.305,,0.136,2.60,8,0.333,,0.202,8.00,14,3.44,0.00,0.26,0.330,7.40,0.00,0.00
Sam Gaviglio,$7.2K,R,TOR,SP,@ LAA, , ,0.00%, ,200,2,8.5,122,3.96,-0.23,2,0.176,,0.000,9.00,7,0.585,,0.143,4.50,1,3.03,0.00,0.00,0.494,5.50,0.00,0.00,13.7,1.9,2,0.441,,0.267,5.10,7,0.423,,0.055,6.30,2,3.81,0.00,0.20,0.427,6.10,0.00,0.00,2,0.346,,0.139,3.10,7,0.338,,0.178,4.50,4,4.13,0.00,0.30,0.340,4.20,0.00,0.00,2,0.315,,0.145,3.10,7,0.301,,0.167,6.70,7,3.56,0.00,0.24,0.304,5.90,0.00,0.00,2,0.343,,0.212,2.80,7,0.341,,0.213,4.40,22,4.31,0.00,0.32,0.341,4.00,0.00,0.00
Luke Weaver,$8.0K,R,STL,SP,@ MIL, , ,12.50%,1.175,2000,-14,8.5,110,4.08,-0.25,4,0.687,,1.000,1.80,5,0.300,,0.000,5.40,1,5.49,0.00,2.00,0.472,3.80,0.00,0.00,14.69,1.84,4,0.485,,0.350,1.80,5,0.379,,0.130,5.30,2,5.01,0.00,1.00,0.426,3.80,0.00,0.00,4,0.433,,0.300,2.60,5,0.347,,0.084,3.70,5,4.99,0.00,0.27,0.385,3.20,0.00,0.00,4,0.369,,0.163,3.20,5,0.283,,0.110,5.10,14,4.16,0.00,0.18,0.321,4.30,0.00,0.00,4,0.322,,0.132,4.00,5,0.308,,0.140,5.90,26,3.61,0.00,0.22,0.314,5.00,0.00,0.00
Jhoulys Chacin,$8.2K,R,MIL,SP,STL, , ,7.50%,1.885,600, ,8.5,-124,4.42,-0.25,4,0.302,,0.000,1.50,5,0.256,,0.000,1.50,1,5.78,0.00,0.00,0.276,1.50,0.00,0.00,14.14,1.72,4,0.208,,0.000,5.20,5,0.341,,0.062,1.50,2,4.65,0.00,0.00,0.282,3.10,0.00,0.00,4,0.286,,0.090,4.60,5,0.233,,0.047,2.80,5,3.77,0.00,0.04,0.257,3.60,0.00,0.00,4,0.315,,0.114,3.10,5,0.231,,0.099,4.40,14,4.12,0.00,0.07,0.268,3.90,0.00,0.00,4,0.336,,0.164,3.10,5,0.263,,0.105,4.70,46,4.15,0.00,0.15,0.295,4.00,0.00,0.00
Gerrit Cole,$13.2K,R,HOU,SP,KCR, , ,7.50%,3.012,1800,1,7.5,-289,4.92,-0.47,6,0.250,,0.000,5.10,3,0.262,,0.188,5.10,1,3.99,0.00,0.20,0.254,5.10,0.00,0.00,22.59,1.71,6,0.195,,0.063,4.20,3,0.364,,0.290,5.50,2,3.74,0.00,0.33,0.251,4.60,0.00,0.00,6,0.268,,0.142,6.50,3,0.286,,0.222,3.50,5,3.10,0.00,0.26,0.274,5.50,0.00,0.00,6,0.241,,0.123,7.00,3,0.253,,0.156,5.40,15,1.87,0.00,0.18,0.245,6.50,0.00,0.00,6,0.308,,0.183,5.20,3,0.284,,0.154,4.90,47,2.94,0.00,0.22,0.300,5.10,0.00,0.00
Bartolo Colon,$5.4K,R,TEX,SP,@ MIN, , ,0.50%, ,-400,-3,9.0,148,3.95,0.12,7,0.411,,0.230,0.00,2,0.293,,0.000,1.50,1,5.86,0.00,0.00,0.385,0.30,0.00,0.00,8.94,1.66,7,0.581,,0.452,1.00,2,0.373,,0.174,3.00,2,5.17,0.00,0.30,0.535,1.40,0.00,0.00,7,0.563,,0.391,1.10,2,0.413,,0.280,3.70,4,5.08,0.00,0.33,0.530,1.60,0.00,0.00,7,0.332,,0.212,2.10,2,0.339,,0.270,3.70,14,4.24,0.00,0.27,0.334,2.50,0.00,0.00,7,0.370,,0.235,2.60,2,0.367,,0.243,3.40,41,4.43,0.00,0.23,0.369,2.80,0.00,0.00
Marco Gonzales,$6.9K,L,SEA,SP,@ BOS, , ,2.50%,4.532,-700,8,8.5,214,3.26,0.17,4,0.261,,0.000,3.00,5,0.460,,0.429,4.40,1,3.69,0.00,0.50,0.372,3.80,0.00,0.00,11.33,1.64,4,0.157,,0.000,4.00,5,0.454,,0.333,5.70,2,3.26,0.00,0.33,0.322,5.00,0.00,0.00,4,0.256,,0.000,1.80,5,0.323,,0.183,5.60,5,3.97,0.00,0.18,0.293,3.90,0.00,0.00,4,0.261,,0.084,0.80,5,0.326,,0.149,7.50,14,3.66,0.00,0.17,0.297,4.50,0.00,0.00,4,0.309,,0.110,1.40,5,0.351,,0.171,6.90,24,3.83,0.00,0.21,0.332,4.50,0.00,0.00
German Marquez,$6.3K,R,COL,SP,MIA, , ,3.00%,3.450,-300,3,11.0,-163,6.17,-0.29,5,0.376,,0.000,3.00,4,0.194,,0.078,3.00,1,4.55,0.00,0.00,0.295,3.00,0.00,0.00,10.35,1.64,5,0.359,,0.138,6.00,4,0.297,,0.233,3.00,2,3.54,0.00,0.33,0.331,4.70,0.00,0.00,5,0.400,,0.272,5.00,4,0.292,,0.185,4.00,5,3.57,0.00,0.37,0.352,4.60,0.00,0.00,5,0.355,,0.205,4.20,4,0.336,,0.195,4.80,14,3.69,0.00,0.28,0.347,4.40,0.00,0.00,5,0.336,,0.159,3.90,4,0.351,,0.239,4.90,43,3.71,0.00,0.23,0.343,4.30,0.00,0.00
Matt Andriese,$5.1K,R,TBR,SP,NYY, , ,4.00%,2.072,-400,-4,8.0,150,3.49,-0.28,4,0.000,,0.000,0.00,5,0.549,,0.250,8.20,1,4.99,0.00,0.00,0.305,4.50,0.00,0.00,8.29,1.63,4,0.110,,0.000,0.00,5,0.362,,0.126,6.70,2,4.59,0.00,0.00,0.250,3.70,0.00,0.00,4,0.234,,0.000,0.00,5,0.362,,0.219,7.00,5,4.53,0.00,0.17,0.305,3.90,0.00,0.00,4,0.241,,0.111,3.10,5,0.337,,0.182,7.30,17,3.41,0.00,0.16,0.294,5.40,0.00,0.00,4,0.260,,0.117,3.60,5,0.372,,0.239,5.60,35,3.66,0.00,0.25,0.322,4.70,0.00,0.00
