Rank,Name,Team,Position,Opponent,HomeOrAway,Started_YN,Saves,InningsPitched,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingHomeRuns,PitchingWalks,PitchingStrikeouts,PitchingBattingAverageAgainst,WalksHitsPerInningsPitched,FantasyPointsDraftKings
31,Gerson Bautista,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Sonny Gray,NYY,SP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luis Severino,NYY,SP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jordan Montgomery,NYY,SP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Masahiro Tanaka,NYY,SP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,CC Sabathia,NYY,SP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luis Cessa,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,David Robertson,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Aroldis Chapman,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tommy Kahnle,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Dellin Betances,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Chasen Shreve,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Adam Warren,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,A.J. Cole,NYY,SP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Albert Abreu,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Domingo Acevedo,NYY,SP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ben Heller,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Chad Green,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jonathan Holder,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Giovanny Gallegos,NYY,RP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jonathan Loaisiga,NYY,SP,NYM,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Brandon McCarthy,ATL,SP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Sean Newcomb,ATL,SP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Julio Teheran,ATL,SP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mike Foltynewicz,ATL,SP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mike Soroka,ATL,SP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Arodys Vizcaino,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Dan Winkler,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jose Ramirez,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Chase Whitley,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jesse Biddle,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Sam Freeman,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Peter Moylan,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Matt Wisler,ATL,SP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jason Hursh,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jacob Lindgren,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Grant Dayton,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luke Jackson,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Shane Carle,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Max Fried,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luiz Gohara,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,A.J. Minter,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ricardo Sanchez,ATL,SP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Lucas Sims,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Chad Bell,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Adam McCreery,ATL,SP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Evan Phillips,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Wes Parsons,ATL,RP,WSH,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jeremy Hellickson,WSH,SP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Gio Gonzalez,WSH,SP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tanner Roark,WSH,SP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Max Scherzer,WSH,SP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Erick Fedde,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jefry Rodriguez,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Kelvin Herrera,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Brandon Kintzler,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Sean Doolittle,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Joaquin Benoit,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Shawn Kelley,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Sammy Solis,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Justin Miller,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Trevor Gott,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Matt Grace,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ryan Madson,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Joe Ross,WSH,SP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Wander Suero,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Austin Voth,WSH,SP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Bryan Harper,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Koda Glover,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Austin Adams,WSH,RP,ATL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Brad Brach,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Zach Britton,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Kevin Gausman,BAL,SP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Darren O'Day,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mike Wright,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Andrew Cashner,BAL,SP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Alex Cobb,BAL,SP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Hunter Harvey,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Miguel Castro,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mychal Givens,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Gabriel Ynoa,BAL,SP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Chris Lee,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Richard Bleier,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Paul Fry,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tanner Scott,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,David Hess,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Donnie Hart,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Yefrey Ramirez,BAL,SP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jimmy Yacabonis,BAL,SP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ryan Meisinger,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Pedro Araujo,BAL,RP,TOR,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Aaron Sanchez,TOR,SP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Marco Estrada,TOR,SP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Joe Biagini,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,J.A. Happ,TOR,SP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ryan Borucki,TOR,SP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jake Petricka,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,John Axford,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jaime Garcia,TOR,SP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Aaron Loup,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Marcus Stroman,TOR,SP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tyler Clippard,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Rhiner Cruz,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ryan Tepera,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Seung Hwan Oh,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Danny Barnes,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tim Mayza,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luis Santos,TOR,RP,BAL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Rick Porcello,BOS,SP,DET,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Eduardo Rodriguez,BOS,SP,DET,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
