Rank,Name,Team,Position,Opponent,HomeOrAway,BattingOrder,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RunsBattedIn,Walks,Strikeouts,StolenBases,CaughtStealing,BattingAverage,OnBasePercentage,FantasyPointsDraftKings
196,Yan Gomes,CLE,C,DET,HOME,7,3.71,0.48,0.84,0.18,0.01,0.17,0.51,0.26,1.11,0.01,0,0.25,0.25,6.79
196,Jose Pirela,SD,2B,SF,AWAY,4,3.84,0.54,0.94,0.2,0.03,0.07,0.42,0.35,0.83,0.05,0.03,0.25,0.25,6.79
199,Brock Holt,BOS,2B,SEA,HOME,6,3.64,0.51,0.95,0.2,0.02,0.06,0.4,0.4,0.77,0.06,0.02,0.25,0.25,6.77
199,Robinson Chirinos,TEX,C,MIN,AWAY,7,3.44,0.46,0.77,0.18,0.01,0.15,0.49,0.42,1.19,0.02,0.01,0.333,0.25,6.77
201,Wilmer Difo,WSH,2B,PHI,HOME,7,3.59,0.52,0.94,0.16,0.04,0.08,0.37,0.32,0.73,0.08,0.02,0.25,0.25,6.76
201,Carlos Gomez,TB,RF,NYY,HOME,7,3.63,0.45,0.83,0.16,0.02,0.14,0.45,0.22,1.16,0.09,0.04,0.25,0.25,6.76
201,Jonathan Schoop,BAL,2B,ATL,AWAY,6,3.77,0.46,0.96,0.19,0.01,0.13,0.53,0.18,0.88,0.02,0.01,0.25,0.25,6.76
201,Mark Canha,OAK,LF,CHW,AWAY,6,3.7,0.5,0.85,0.19,0.02,0.14,0.49,0.25,1.01,0.03,0.01,0.25,0.25,6.76
205,Rougned Odor,TEX,2B,MIN,AWAY,5,3.76,0.44,0.81,0.2,0.02,0.11,0.5,0.32,1.01,0.09,0.04,0.25,0.25,6.75
205,Freddy Galvis,SD,SS,SF,AWAY,6,3.65,0.48,0.95,0.19,0.03,0.07,0.4,0.33,0.74,0.08,0.03,0.25,0.25,6.75
207,Charlie Culberson,ATL,LF,BAL,HOME,6,3.73,0.5,0.93,0.2,0.02,0.1,0.43,0.29,0.79,0.05,0.03,0.25,0.25,6.74
207,Chad Pinder,OAK,3B,CHW,AWAY,7,3.57,0.47,0.89,0.19,0.02,0.15,0.46,0.24,1.12,0.02,0.02,0.25,0.25,6.74
209,Rafael Devers,BOS,3B,SEA,HOME,7,3.79,0.48,0.89,0.18,0.01,0.13,0.49,0.3,1.01,0.03,0.02,0.25,0.25,6.72
209,Franklin Barreto,OAK,2B,CHW,AWAY,8,3.57,0.48,0.85,0.17,0.04,0.12,0.42,0.29,1.26,0.07,0.02,0.25,0.25,6.72
211,Ketel Marte,ARI,2B,PIT,AWAY,5,3.76,0.45,0.99,0.17,0.03,0.08,0.36,0.37,0.64,0.05,0.03,0.25,0.25,6.67
211,Taylor Motter,MIN,3B,TEX,HOME,6,3.72,0.45,0.82,0.16,0.01,0.12,0.4,0.33,0.89,0.12,0.02,0.25,0.25,6.67
211,Raul Mondesi,KC,SS,HOU,AWAY,9,3.43,0.43,0.73,0.14,0.04,0.1,0.38,0.25,1.24,0.22,0.03,0.333,0.25,6.67
214,Jesmuel Valentin,PHI,3B,WSH,AWAY,9,3.4,0.46,0.87,0.17,0.02,0.12,0.44,0.32,0.79,0.05,0.02,0.333,0.25,6.66
214,Charlie Tilson,CHW,LF,OAK,HOME,9,3.4,0.46,0.87,0.17,0.02,0.12,0.44,0.32,0.79,0.05,0.02,0.333,0.25,6.66
216,Johnny Field,TB,LF,NYY,HOME,9,3.48,0.45,0.88,0.17,0.01,0.15,0.4,0.18,1.04,0.08,0.02,0.333,0.25,6.64
216,Kike Hernandez,LAD,SS,NYM,AWAY,7,3.52,0.45,0.79,0.16,0.02,0.14,0.45,0.44,0.95,0.03,0.01,0.25,0.25,6.64
216,Manny Pina,MIL,C,STL,HOME,7,3.68,0.46,0.92,0.18,0.01,0.12,0.45,0.29,0.86,0.03,0.01,0.25,0.25,6.64
219,Alex Gordon,KC,LF,HOU,AWAY,6,3.64,0.46,0.88,0.16,0.02,0.12,0.38,0.31,0.99,0.06,0.02,0.25,0.25,6.62
219,Devon Travis,TOR,2B,LAA,AWAY,9,3.76,0.48,0.96,0.17,0.02,0.11,0.45,0.23,0.83,0.03,0.02,0.25,0.25,6.62
221,Noel Cuevas,COL,LF,MIA,HOME,8,3.49,0.45,0.94,0.16,0.02,0.12,0.41,0.28,0.54,0.03,0.02,0.333,0.25,6.61
222,Hunter Dozier,KC,1B,HOU,AWAY,5,3.69,0.48,0.95,0.21,0.01,0.1,0.39,0.33,0.98,0.02,0.02,0.25,0.25,6.58
223,Tyler Naquin,CLE,CF,DET,HOME,9,3.42,0.45,0.89,0.16,0.02,0.11,0.4,0.34,1,0.05,0.02,0.333,0.25,6.57
224,Amed Rosario,NYM,SS,LAD,HOME,8,3.7,0.47,0.95,0.18,0.03,0.09,0.38,0.18,0.9,0.09,0.03,0.25,0.25,6.56
225,Devin Mesoraco,NYM,C,LAD,HOME,7,3.62,0.47,0.81,0.17,0.02,0.13,0.41,0.38,0.85,0.03,0.02,0.25,0.25,6.55
225,Kevan Smith,CHW,C,OAK,HOME,5,3.8,0.44,1.01,0.2,0.01,0.09,0.46,0.25,0.58,0.02,0.01,0.25,0.25,6.55
227,Jose Bautista,NYM,RF,LAD,HOME,6,3.65,0.49,0.78,0.2,0.01,0.12,0.43,0.42,0.99,0.03,0.02,0.25,0.25,6.54
227,Mark Trumbo,BAL,RF,ATL,AWAY,4,3.99,0.46,0.91,0.2,0.01,0.13,0.49,0.23,1.05,0.01,0,0.25,0.25,6.54
229,Johan Camargo,ATL,3B,BAL,HOME,8,3.53,0.46,0.86,0.17,0.02,0.11,0.43,0.39,0.73,0.02,0.02,0.25,0.25,6.51
229,Miguel Rojas,MIA,3B,COL,AWAY,7,3.54,0.41,0.95,0.16,0.02,0.11,0.39,0.31,0.46,0.03,0.02,0.25,0.25,6.51
229,Yolmer Sanchez,CHW,3B,OAK,HOME,8,3.56,0.45,0.92,0.18,0.04,0.09,0.43,0.21,0.81,0.06,0.04,0.25,0.25,6.51
232,Curt Casali,CIN,C,CHC,HOME,7,3.49,0.44,0.78,0.18,0.01,0.15,0.46,0.36,1.18,0.02,0.01,0.333,0.25,6.5
232,Aledmys Diaz,TOR,SS,LAA,AWAY,8,3.65,0.46,0.88,0.17,0.01,0.12,0.43,0.26,0.57,0.05,0.02,0.25,0.25,6.5
234,Kolten Wong,STL,2B,MIL,AWAY,8,3.41,0.43,0.87,0.15,0.03,0.1,0.36,0.32,0.57,0.07,0.01,0.333,0.25,6.49
235,Jason Kipnis,CLE,2B,DET,HOME,8,3.55,0.46,0.8,0.19,0.01,0.1,0.43,0.36,0.79,0.07,0.02,0.25,0.25,6.46
