DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Aug 19,vs LAA,L 5-1,Did not play
Aug 20,vs LAA,L 5-4,Did not play
Aug 21,vs OAK,W 7-3,Did not play
Aug 22,vs OAK,L 6-4,Did not play
Aug 23,vs OAK,W 8-7,Did not play
Aug 25,@ BOS,W 16-3,Did not play
Aug 26,@ BOS,W 7-0,Did not play
Aug 27,@ BOS,W 2-1,Did not play
Aug 28,vs SEA,W 7-6,Did not play
Aug 29,vs SEA,W 4-0,Did not play
Aug 30,vs SEA,W 8-7,Did not play
Aug 31,vs TOR,L 11-8,Did not play
Sep 1,vs TOR,W 1-0,Did not play
Sep 2,vs TOR,L 7-2,Did not play
Sep 3,vs TOR,W 5-4,Did not play
Sep 4,vs NYY,L 7-4,Did not play
Sep 5,vs NYY,W 7-6,Did not play
Sep 7,vs NYY,L 9-1,Did not play
Sep 8,@ CLE,L 5-0,Did not play
Sep 9,@ CLE,L 4-2,Did not play
Sep 10,@ CLE,L 3-2,Did not play
Sep 11,@ TOR,L 4-3,Did not play
Sep 12,@ TOR,L 3-2,Did not play
Sep 13,@ TOR,W 2-1,Did not play
Sep 14,@ NYY,L 13-5,Did not play
Sep 15,@ NYY,L 8-2,Did not play
Sep 16,@ NYY,L 9-3,3,1,2,0,0,0,0,1,0,0,0,.256,.313,.569,.217
Sep 17,@ NYY,W 6-4,Did not play
Sep 18,vs BOS,L 10-8,Did not play
Sep 19,vs BOS,L 1-0,Did not play
Sep 20,vs BOS,L 9-0,3,0,0,0,0,0,0,0,1,0,0,.253,.309,.562,.215
Sep 21,vs TB,W 3-1,3,0,0,0,0,0,0,0,0,0,0,.250,.305,.555,.212
Sep 22,vs TB,L 8-3,Did not play
Sep 23,vs TB,L 9-6,0,1,0,0,0,0,0,0,0,0,0,.250,.305,.555,.212
Sep 24,vs TB,W 9-4,4,2,2,0,0,1,2,0,0,0,0,.254,.321,.575,.217
Sep 26,@ PIT,L 10-1,3,0,1,0,0,0,0,1,0,0,0,.258,.321,.579,.218
Sep 27,@ PIT,L 5-3,4,0,0,0,0,0,1,0,1,0,0,.254,.316,.570,.215
Sep 29,@ TB,L 7-0,Did not play
Sep 30,@ TB,L 4-3,4,1,2,2,0,0,0,0,1,0,0,.258,.327,.585,.219
Oct 1,@ TB,L 6-0,3,0,0,0,0,0,0,0,2,0,0,.255,.323,.578,.217
