Michael Brantley,4200,CLE,OF,DET,,0.999,7.42
Brandon Guyer,3500,CLE,OF,DET,,0.999,8.25
Edwin Encarnacion,4500,CLE,1B,DET,,0.756,9.58
Rajai Davis,3300,CLE,OF,DET,,0.999,6.61
Nick Castellanos,3800,DET,OF,CLE,,0.767,7.79
Jose Iglesias,3200,DET,SS,CLE,,0.999,4.61
John Hicks,3200,DET,1B/C,CLE,,0.999,5.06
Yonder Alonso,4100,CLE,1B,DET,,0.723,6.44
Cesar Hernandez,4600,PHI,2B,CIN,,0.663,8.15
Jose Peraza,4300,CIN,SS,PHI,,0.655,8.6
Maikel Franco,4100,PHI,3B,CIN,,0.999,8.12
Rhys Hoskins,5500,PHI,OF,CIN,,0.684,9.04
Eugenio Suarez,5100,CIN,3B,PHI,,0.999,7.63
Adam Duvall,3900,CIN,OF,PHI,,0.999,6.62
Andrew Knapp,3900,PHI,C,CIN,,0.72,5.12
Mason Williams,2800,CIN,OF,PHI,,0,6.8
Billy Hamilton,3500,CIN,OF,PHI,,0.999,6.14
Tucker Barnhart,3800,CIN,C,PHI,,0.999,6.72
Odubel Herrera,4700,PHI,OF,CIN,,0.758,8.64
Asdrubal Cabrera,4600,PHI,2B,CIN,,0.766,8.91
Carlos Santana,4400,PHI,1B,CIN,,0.748,8.25
Nick Williams,4500,PHI,OF,CIN,,0.761,8.46
Joey Votto,4700,CIN,1B,PHI,,0.748,7.99
Scooter Gennett,4900,CIN,2B,PHI,,0.764,8.64
Jose Ramirez,5800,CLE,3B,DET,,0.999,9.99
Francisco Lindor,5400,CLE,SS,DET,,0.769,9.98
Gregory Bird,4300,NYY,1B,KCR,,0.999,6.5
Aaron Hicks,4400,NYY,OF,KCR,,0.711,6.93
Didi Gregorius,5300,NYY,SS,KCR,,0.762,9.26
Neil Walker,3900,NYY,1B/2B,KCR,,0.711,6.46
Rosell Herrera,2900,KCR,OF,NYY,,0.999,6.36
Shane Robinson,2800,NYY,OF,KCR,,0,5.89
Adalberto Mondesi,3800,KCR,2B/SS,NYY,,0.999,4.85
Brian Goodwin,3300,KCR,OF,NYY,,0.999,5.57
Alex Gordon,2800,KCR,OF,NYY,,0.999,4.43
Jorge Bonifacio,3400,KCR,OF,NYY,,0.999,4.78
Salvador Perez,4000,KCR,C,NYY,,0.999,6.4
Giancarlo Stanton,5000,NYY,OF,KCR,,0.775,9.83
Austin Romine,3500,NYY,C,KCR,,0.999,3.91
Lucas Duda,3600,KCR,1B,NYY,,0.776,6.31
