Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Brandon Crawford,$4.1K,L,SFG,SS,@ ARI,5 ,Patrick Corbin,L, ,,,,,800,-3,7.0,116,3.3,-0.39,107,0.290,0.358,0.234,0.322,0.523,0.845,19.30,7.60,0.321,5.71,1.39
Cody Bellinger,$4.7K,L,LAD,1B/OF,COL,4 ,Tyler Anderson,L, ,,,,,800,3,7.5,-158,4.16,-0.02,92,0.217,0.332,0.217,0.324,0.435,0.759,29.40,13.80,0.281,6.54,1.39
Jed Lowrie,$4.9K,S,OAK,2B,CLE,3 ,Trevor Bauer,R,,,,,,900,-1,8.0,161,3.39,-0.07,211,0.294,0.380,0.237,0.360,0.531,0.891,21.20,9.70,0.336,6.75,1.38
Khris Davis,$5.0K,R,OAK,OF,CLE,4 ,Trevor Bauer,R, ,,,,,1000,1,8.0,161,3.39,-0.07,203,0.241,0.359,0.281,0.311,0.522,0.833,24.70,7.90,0.250,6.83,1.37
Brandon Belt,$4.8K,L,SFG,1B,@ ARI,2 ,Patrick Corbin,L, ,,,,,1200,-2,7.0,116,3.3,-0.39,84,0.262,0.329,0.119,0.354,0.381,0.735,22.00,11.00,0.323,6.54,1.36
Ronald Acuna,$4.3K,R,ATL,OF,@ STL,6 ,Miles Mikolas,R, ,,,,,700,2,8.5,117,4,0.14,77,0.273,0.337,0.195,0.321,0.468,0.789,29.80,7.10,0.360,5.64,1.31
Rafael Devers,$4.5K,L,BOS,3B,@ NYY,7 ,CC Sabathia,L, ,,,,,1100,-6,9.5,104,4.63,0.27,84,0.238,0.274,0.143,0.256,0.381,0.637,23.30,2.30,0.279,5.76,1.28
Andrew Benintendi,$5.2K,L,BOS,OF,@ NYY,2 ,CC Sabathia,L, ,,,,,1300,-5,9.5,104,4.63,0.27,73,0.205,0.294,0.192,0.280,0.397,0.677,23.50,8.60,0.231,6.36,1.22
Tony Kemp,$3.5K,L,HOU,OF,@ TBR,8 ,Wilmer Font,R,,,,,,1300,-21,7.0,-189,4.07,0.05,71,0.310,0.344,0.099,0.375,0.408,0.783,8.40,8.40,0.328,4.2,1.2
Jackie Bradley,$3.7K,L,BOS,OF,@ NYY,9 ,CC Sabathia,L, ,,,,,900,2,9.5,104,4.63,0.27,57,0.175,0.223,0.070,0.230,0.246,0.476,33.90,3.20,0.257,4.36,1.18
