Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Joey Lucchesi (11070629),Joey Lucchesi,11070629,P,6600,LAA@SD 08/13/2018 10:10PM ET,SD,15.21
SP,Daniel Mengden (11070859),Daniel Mengden,11070859,P,6500,SEA@OAK 08/13/2018 10:05PM ET,OAK,11.76
SP,Jharel Cotton (11070830),Jharel Cotton,11070830,P,6300,SEA@OAK 08/13/2018 10:05PM ET,OAK,0
RP,Nick Tropeano (11070582),Nick Tropeano,11070582,P,6200,LAA@SD 08/13/2018 10:10PM ET,LAA,12.74
SP,Jaime Barria (11070604),Jaime Barria,11070604,P,6200,LAA@SD 08/13/2018 10:10PM ET,LAA,12.74
SP,Alex Meyer (11070550),Alex Meyer,11070550,P,6100,LAA@SD 08/13/2018 10:10PM ET,LAA,0
SP,Edwin Jackson (11070760),Edwin Jackson,11070760,P,6100,SEA@OAK 08/13/2018 10:05PM ET,OAK,17.34
SP,Felix Hernandez (11070766),Felix Hernandez,11070766,P,6100,SEA@OAK 08/13/2018 10:05PM ET,SEA,10.33
SP,Caleb Ferguson (11070752),Caleb Ferguson,11070752,P,5900,SF@LAD 08/13/2018 10:10PM ET,LAD,8.2
SP,Mike Leake (11070775),Mike Leake,11070775,P,5900,SEA@OAK 08/13/2018 10:05PM ET,SEA,12.1
SP,Hisashi Iwakuma (11070822),Hisashi Iwakuma,11070822,P,5900,SEA@OAK 08/13/2018 10:05PM ET,SEA,0
OF,Mike Trout (11070557),Mike Trout,11070557,OF,5800,LAA@SD 08/13/2018 10:10PM ET,LAA,11.13
SP,Cal Quantrill (11070609),Cal Quantrill,11070609,P,5800,LAA@SD 08/13/2018 10:10PM ET,SD,0
SP,Chris Stratton (11070729),Chris Stratton,11070729,P,5800,SF@LAD 08/13/2018 10:10PM ET,SF,9.89
SP,Jacob Nix (11070614),Jacob Nix,11070614,P,5700,LAA@SD 08/13/2018 10:10PM ET,SD,21.9
SP,Ariel Miranda (11070865),Ariel Miranda,11070865,P,5600,SEA@OAK 08/13/2018 10:05PM ET,SEA,13.25
RP,Felix Pena (11070569),Felix Pena,11070569,P,5500,LAA@SD 08/13/2018 10:10PM ET,LAA,8.77
RP,JC Ramirez (11070543),JC Ramirez,11070543,P,5400,LAA@SD 08/13/2018 10:10PM ET,LAA,0.3
SP,Ty Blach (11070735),Ty Blach,11070735,P,5400,SF@LAD 08/13/2018 10:10PM ET,SF,4.62
RP,Frankie Montas (11070821),Frankie Montas,11070821,P,5400,SEA@OAK 08/13/2018 10:05PM ET,OAK,12.82
SP,Walker Lockett (11070597),Walker Lockett,11070597,P,5300,LAA@SD 08/13/2018 10:10PM ET,SD,1.64
SP,Chris Bassitt (11070828),Chris Bassitt,11070828,P,5300,SEA@OAK 08/13/2018 10:05PM ET,OAK,13.27
SP,Brett Kennedy (11070627),Brett Kennedy,11070627,P,5100,LAA@SD 08/13/2018 10:10PM ET,SD,-3.6
SP,Andrew Suarez (11070717),Andrew Suarez,11070717,P,5100,SF@LAD 08/13/2018 10:10PM ET,SF,12.71
SP,Andrew Albers (11070789),Andrew Albers,11070789,P,5100,SEA@OAK 08/13/2018 10:05PM ET,SEA,0
SP,Chase De Jong (11070840),Chase De Jong,11070840,P,5100,SEA@OAK 08/13/2018 10:05PM ET,SEA,0
RP,Rob Whalen (11070841),Rob Whalen,11070841,P,5100,SEA@OAK 08/13/2018 10:05PM ET,SEA,7.8
SP,Phil Hughes (11070526),Phil Hughes,11070526,P,5000,LAA@SD 08/13/2018 10:10PM ET,SD,2.54
SP,Daniel Gossett (11070829),Daniel Gossett,11070829,P,5000,SEA@OAK 08/13/2018 10:05PM ET,OAK,6.07
RP,Parker Bridwell (11070579),Parker Bridwell,11070579,P,4900,LAA@SD 08/13/2018 10:10PM ET,LAA,-12.45
SP,Julio Urias (11070740),Julio Urias,11070740,P,4900,SF@LAD 08/13/2018 10:10PM ET,LAD,0
OF,Khris Davis (11070776),Khris Davis,11070776,OF,4900,SEA@OAK 08/13/2018 10:05PM ET,OAK,9.52
SP,A.J. Puk (11070853),A.J. Puk,11070853,P,4900,SEA@OAK 08/13/2018 10:05PM ET,OAK,0
OF,Hunter Renfroe (11070581),Hunter Renfroe,11070581,OF,4800,LAA@SD 08/13/2018 10:10PM ET,SD,6.6
OF,Nelson Cruz (11070761),Nelson Cruz,11070761,OF,4800,SEA@OAK 08/13/2018 10:05PM ET,SEA,8.7
SP,Brett Anderson (11070772),Brett Anderson,11070772,P,4800,SEA@OAK 08/13/2018 10:05PM ET,OAK,7.58
SP,Kendall Graveman (11070832),Kendall Graveman,11070832,P,4800,SEA@OAK 08/13/2018 10:05PM ET,OAK,6.06
SP,John Lamb (11070547),John Lamb,11070547,P,4600,LAA@SD 08/13/2018 10:10PM ET,LAA,5.7
SP,Robbie Erlin (11070562),Robbie Erlin,11070562,P,4600,LAA@SD 08/13/2018 10:10PM ET,SD,5.98
OF,Shohei Ohtani (11070602),Shohei Ohtani,11070602,OF,4600,LAA@SD 08/13/2018 10:10PM ET,LAA,2.48
OF,Justin Upton (11070534),Justin Upton,11070534,OF,4500,LAA@SD 08/13/2018 10:10PM ET,LAA,8.21
SP,Joan Gregorio (11070703),Joan Gregorio,11070703,P,4500,SF@LAD 08/13/2018 10:10PM ET,SF,0
SS,Manny Machado (11070704),Manny Machado,11070704,SS,4500,SF@LAD 08/13/2018 10:10PM ET,LAD,9.11
SP,Brock Stewart (11070708),Brock Stewart,11070708,P,4500,SF@LAD 08/13/2018 10:10PM ET,LAD,2.59
SP,Yadier Alvarez (11070753),Yadier Alvarez,11070753,P,4500,SF@LAD 08/13/2018 10:10PM ET,LAD,0
RP,Erasmo Ramirez (11070808),Erasmo Ramirez,11070808,P,4500,SEA@OAK 08/13/2018 10:05PM ET,SEA,5.87
SP,Grant Holmes (11070857),Grant Holmes,11070857,P,4500,SEA@OAK 08/13/2018 10:05PM ET,OAK,0
SP,Clayton Richard (11070530),Clayton Richard,11070530,P,4400,LAA@SD 08/13/2018 10:10PM ET,SD,10.52
RP,Deck McGuire (11070575),Deck McGuire,11070575,P,4400,LAA@SD 08/13/2018 10:10PM ET,LAA,2.68
RP,Matt Strahm (11070598),Matt Strahm,11070598,P,4400,LAA@SD 08/13/2018 10:10PM ET,SD,5.68
SP,Jeff Samardzija (11070657),Jeff Samardzija,11070657,P,4400,SF@LAD 08/13/2018 10:10PM ET,SF,5.75
SP,Tom Koehler (11070680),Tom Koehler,11070680,P,4400,SF@LAD 08/13/2018 10:10PM ET,LAD,0
SP,Tyler Beede (11070713),Tyler Beede,11070713,P,4400,SF@LAD 08/13/2018 10:10PM ET,SF,5.22
1B/OF,Cody Bellinger (11070744),Cody Bellinger,11070744,1B/OF,4400,SF@LAD 08/13/2018 10:10PM ET,LAD,7.77
SP,Paul Blackburn (11070836),Paul Blackburn,11070836,P,4400,SEA@OAK 08/13/2018 10:05PM ET,OAK,6.61
OF,Wil Myers (11070561),Wil Myers,11070561,OF,4300,LAA@SD 08/13/2018 10:10PM ET,SD,8.73
SP,Bryan Mitchell (11070563),Bryan Mitchell,11070563,P,4300,LAA@SD 08/13/2018 10:10PM ET,SD,1.56
SP,Kyle Lloyd (11070608),Kyle Lloyd,11070608,P,4300,LAA@SD 08/13/2018 10:10PM ET,SD,0
1B,Brandon Belt (11070660),Brandon Belt,11070660,1B,4300,SF@LAD 08/13/2018 10:10PM ET,SF,7.95
2B,Brian Dozier (11070684),Brian Dozier,11070684,2B,4300,SF@LAD 08/13/2018 10:10PM ET,LAD,8.12
1B/3B,Max Muncy (11070689),Max Muncy,11070689,1B/3B,4300,SF@LAD 08/13/2018 10:10PM ET,LAD,8.18
RP,Dennis Santana (11070741),Dennis Santana,11070741,P,4300,SF@LAD 08/13/2018 10:10PM ET,LAD,2.72
RP,Casey Lawrence (11070816),Casey Lawrence,11070816,P,4300,SEA@OAK 08/13/2018 10:05PM ET,SEA,1.61
RP,Andrew Moore (11070863),Andrew Moore,11070863,P,4300,SEA@OAK 08/13/2018 10:05PM ET,SEA,0
SP,Colin Rea (11070584),Colin Rea,11070584,P,4200,LAA@SD 08/13/2018 10:10PM ET,SD,0
SP,Luis Perdomo (11070585),Luis Perdomo,11070585,P,4200,LAA@SD 08/13/2018 10:10PM ET,SD,4.32
SP,Eric Lauer (11070606),Eric Lauer,11070606,P,4200,LAA@SD 08/13/2018 10:10PM ET,SD,9.61
OF,Andrew McCutchen (11070650),Andrew McCutchen,11070650,OF,4200,SF@LAD 08/13/2018 10:10PM ET,SF,7.61
C,Yasmani Grandal (11070671),Yasmani Grandal,11070671,C,4200,SF@LAD 08/13/2018 10:10PM ET,LAD,7.57
SS,Jean Segura (11070794),Jean Segura,11070794,SS,4200,SEA@OAK 08/13/2018 10:05PM ET,SEA,8.52
OF,Mitch Haniger (11070803),Mitch Haniger,11070803,OF,4200,SEA@OAK 08/13/2018 10:05PM ET,SEA,8.35
SS,Marcus Semien (11070811),Marcus Semien,11070811,SS,4200,SEA@OAK 08/13/2018 10:05PM ET,OAK,7.54
3B,Christian Villanueva (11070568),Christian Villanueva,11070568,3B,4100,LAA@SD 08/13/2018 10:10PM ET,SD,6.31
SS,Andrelton Simmons (11070578),Andrelton Simmons,11070578,SS,4100,LAA@SD 08/13/2018 10:10PM ET,LAA,7.52
RP,Noe Ramirez (11070591),Noe Ramirez,11070591,P,4100,LAA@SD 08/13/2018 10:10PM ET,LAA,3.54
C,Buster Posey (11070672),Buster Posey,11070672,C,4100,SF@LAD 08/13/2018 10:10PM ET,SF,7.05
RP,Scott Alexander (11070697),Scott Alexander,11070697,P,4100,SF@LAD 08/13/2018 10:10PM ET,LAD,2.6
OF,Denard Span (11070764),Denard Span,11070764,OF,4100,SEA@OAK 08/13/2018 10:05PM ET,SEA,7.19
3B,Matt Chapman (11070858),Matt Chapman,11070858,3B,4100,SEA@OAK 08/13/2018 10:05PM ET,OAK,8.05
RP,Chris Young (11070521),Chris Young,11070521,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
RP,Jim Johnson (11070522),Jim Johnson,11070522,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,2.54
RP,Craig Stammen (11070531),Craig Stammen,11070531,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,4.12
RP,Blake Wood (11070535),Blake Wood,11070535,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,2.66
RP,Blake Parker (11070536),Blake Parker,11070536,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,3.29
RP,Taylor Cole (11070540),Taylor Cole,11070540,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,6.94
RP,Jose Alvarez (11070544),Jose Alvarez,11070544,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,2.53
RP,Robert Stock (11070560),Robert Stock,11070560,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,4.5
RP,Vicente Campos (11070566),Vicente Campos,11070566,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,0
RP,Kirby Yates (11070567),Kirby Yates,11070567,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,4.23
RP,Hansel Robles (11070570),Hansel Robles,11070570,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,3
OF,Kole Calhoun (11070572),Kole Calhoun,11070572,OF,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,6.68
RP,Cam Bedrosian (11070576),Cam Bedrosian,11070576,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,2.46
SP,Dillon Overton (11070580),Dillon Overton,11070580,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
RP,Williams Jerez (11070588),Williams Jerez,11070588,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,5.93
RP,Colten Brewer (11070590),Colten Brewer,11070590,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,2.14
RP,Miguel Diaz (11070595),Miguel Diaz,11070595,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,13.9
RP,Trey Wingenter (11070599),Trey Wingenter,11070599,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,5.38
RP,Keynan Middleton (11070605),Keynan Middleton,11070605,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,3.08
RP,Jose Castillo (11070612),Jose Castillo,11070612,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,3.6
RP,Jake Jewell (11070615),Jake Jewell,11070615,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,-0.17
RP,Justin Anderson (11070616),Justin Anderson,11070616,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,3.66
SP,Griffin Canning (11070617),Griffin Canning,11070617,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,0
SP,Anderson Espinoza (11070621),Anderson Espinoza,11070621,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
SP,Austin Smith (11070622),Austin Smith,11070622,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
SP,Logan Allen (11070624),Logan Allen,11070624,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
SP,Chris Paddack (11070625),Chris Paddack,11070625,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
RP,Phil Maton (11070626),Phil Maton,11070626,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,2.82
SP,Chris Rodriguez (11070630),Chris Rodriguez,11070630,P,4000,LAA@SD 08/13/2018 10:10PM ET,LAA,0
SP,Michel Baez (11070632),Michel Baez,11070632,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
SP,Adrian Morejon (11070634),Adrian Morejon,11070634,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
SP,MacKenzie Gore (11070635),MacKenzie Gore,11070635,P,4000,LAA@SD 08/13/2018 10:10PM ET,SD,0
SP,Matt Cain (11070644),Matt Cain,11070644,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,0
RP,Kenley Jansen (11070652),Kenley Jansen,11070652,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,3.7
3B,Evan Longoria (11070655),Evan Longoria,11070655,3B,4000,SF@LAD 08/13/2018 10:10PM ET,SF,6.86
RP,Mark Melancon (11070659),Mark Melancon,11070659,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,1.8
RP,Tony Watson (11070661),Tony Watson,11070661,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,3.21
RP,Sam Dyson (11070662),Sam Dyson,11070662,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,2.55
RP,John Axford (11070666),John Axford,11070666,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,2.93
RP,Josh Fields (11070668),Josh Fields,11070668,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,2.81
RP,Hunter Strickland (11070669),Hunter Strickland,11070669,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,2.88
RP,Pedro Baez (11070670),Pedro Baez,11070670,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,3.12
RP,Casey Kelly (11070673),Casey Kelly,11070673,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,16.05
RP,Daniel Hudson (11070677),Daniel Hudson,11070677,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,3.12
RP,Will Smith (11070678),Will Smith,11070678,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,4.08
RP,Pat Venditte (11070679),Pat Venditte,11070679,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,0.75
RP,Chris Heston (11070681),Chris Heston,11070681,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,0
RP,Pierce Johnson (11070685),Pierce Johnson,11070685,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,2.4
RP,Dylan Floro (11070686),Dylan Floro,11070686,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,3.89
RP,Zac Rosscup (11070687),Zac Rosscup,11070687,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,0.68
RP,Jose Valdez (11070691),Jose Valdez,11070691,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,-0.04
RP,Yimi Garcia (11070692),Yimi Garcia,11070692,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,1.94
RP,Erik Goeddel (11070698),Erik Goeddel,11070698,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,4.18
OF,Joc Pederson (11070706),Joc Pederson,11070706,OF,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,6.16
RP,Jesen Therrien (11070707),Jesen Therrien,11070707,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,0
RP,Ray Black (11070711),Ray Black,11070711,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,3.74
RP,Reyes Moronta (11070712),Reyes Moronta,11070712,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,3.67
RP,Tony Cingrani (11070714),Tony Cingrani,11070714,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,3.12
SP,Jordan Johnson (11070722),Jordan Johnson,11070722,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,0
RP,JT Chargois (11070728),JT Chargois,11070728,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,2.86
OF,Yasiel Puig (11070738),Yasiel Puig,11070738,OF,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,7.47
RP,Julian Fernandez (11070742),Julian Fernandez,11070742,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,0
SP,Jordan Sheffield (11070746),Jordan Sheffield,11070746,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,0
SP,Garrett Williams (11070748),Garrett Williams,11070748,P,4000,SF@LAD 08/13/2018 10:10PM ET,SF,0
SP,Dustin May (11070755),Dustin May,11070755,P,4000,SF@LAD 08/13/2018 10:10PM ET,LAD,0
RP,Fernando Rodney (11070758),Fernando Rodney,11070758,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,3.22
RP,Zach Duke (11070762),Zach Duke,11070762,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,2.08
RP,Chris Smith (11070763),Chris Smith,11070763,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,0
RP,Yusmeiro Petit (11070765),Yusmeiro Petit,11070765,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,3.76
RP,Ryan Buchter (11070771),Ryan Buchter,11070771,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,2.4
RP,Shawn Kelley (11070777),Shawn Kelley,11070777,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,2.72
RP,Justin Grimm (11070782),Justin Grimm,11070782,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,-0.51
RP,Juan Nicasio (11070783),Juan Nicasio,11070783,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,2.45
RP,Nick Vincent (11070788),Nick Vincent,11070788,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,2.36
RP,David Phelps (11070790),David Phelps,11070790,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,0
RP,Jeurys Familia (11070795),Jeurys Familia,11070795,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,3.86
RP,Alex Colome (11070796),Alex Colome,11070796,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,2.9
RP,Adam Warren (11070800),Adam Warren,11070800,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,3.69
RP,Josh Lucas (11070804),Josh Lucas,11070804,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,3.08
RP,James Pazos (11070805),James Pazos,11070805,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,2.34
SP,Raul Alcantara (11070812),Raul Alcantara,11070812,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,0
RP,Sam Tuivailala (11070813),Sam Tuivailala,11070813,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,2.73
RP,Blake Treinen (11070817),Blake Treinen,11070817,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,5.41
RP,Christian Bergman (11070819),Christian Bergman,11070819,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,9.75
RP,Tony Zych (11070823),Tony Zych,11070823,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,0
RP,Roenis Elias (11070831),Roenis Elias,11070831,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,5
RP,Edwin Diaz (11070839),Edwin Diaz,11070839,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,4.69
RP,Nick Rumbelow (11070847),Nick Rumbelow,11070847,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,1.31
RP,Emilio Pagan (11070850),Emilio Pagan,11070850,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,3.49
RP,Lou Trivino (11070851),Lou Trivino,11070851,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,4.82
SP,Norge Ruiz (11070855),Norge Ruiz,11070855,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,0
RP,Dan Altavilla (11070856),Dan Altavilla,11070856,P,4000,SEA@OAK 08/13/2018 10:05PM ET,SEA,3.44
SP,Dakota Chalmers (11070864),Dakota Chalmers,11070864,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,0
SP,Jesus Luzardo (11070868),Jesus Luzardo,11070868,P,4000,SEA@OAK 08/13/2018 10:05PM ET,OAK,0
OF,Manuel Margot (11070594),Manuel Margot,11070594,OF,3900,LAA@SD 08/13/2018 10:10PM ET,SD,6.29
3B,Justin Turner (11070658),Justin Turner,11070658,3B,3900,SF@LAD 08/13/2018 10:10PM ET,LAD,6.83
2B/OF,Alen Hanson (11070701),Alen Hanson,11070701,2B/OF,3900,SF@LAD 08/13/2018 10:10PM ET,SF,6.04
OF/SS,Chris Taylor (11070730),Chris Taylor,11070730,SS/OF,3900,SF@LAD 08/13/2018 10:10PM ET,LAD,7.41
2B,Robinson Cano (11070759),Robinson Cano,11070759,2B,3900,SEA@OAK 08/13/2018 10:05PM ET,SEA,8.03
OF,Ben Gamel (11070814),Ben Gamel,11070814,OF,3900,SEA@OAK 08/13/2018 10:05PM ET,SEA,5.15
1B,Albert Pujols (11070519),Albert Pujols,11070519,1B,3800,LAA@SD 08/13/2018 10:10PM ET,LAA,7.08
OF,Travis Jankowski (11070583),Travis Jankowski,11070583,OF,3700,LAA@SD 08/13/2018 10:10PM ET,SD,6.02
C,Austin Hedges (11070589),Austin Hedges,11070589,C,3700,LAA@SD 08/13/2018 10:10PM ET,SD,6.4
2B,Jed Lowrie (11070769),Jed Lowrie,11070769,2B,3700,SEA@OAK 08/13/2018 10:05PM ET,OAK,7.81
3B,Kyle Seager (11070799),Kyle Seager,11070799,3B,3700,SEA@OAK 08/13/2018 10:05PM ET,SEA,6.85
OF,Mark Canha (11070809),Mark Canha,11070809,OF,3700,SEA@OAK 08/13/2018 10:05PM ET,OAK,6.63
OF,Nick Martini (11070825),Nick Martini,11070825,OF,3700,SEA@OAK 08/13/2018 10:05PM ET,OAK,4.7
1B,Matt Olson (11070835),Matt Olson,11070835,1B,3700,SEA@OAK 08/13/2018 10:05PM ET,OAK,7.26
OF,Matt Kemp (11070646),Matt Kemp,11070646,OF,3600,SF@LAD 08/13/2018 10:10PM ET,LAD,6.79
SS,Brandon Crawford (11070676),Brandon Crawford,11070676,SS,3600,SF@LAD 08/13/2018 10:10PM ET,SF,6.87
OF/SS,Kike Hernandez (11070682),Kike Hernandez,11070682,SS/OF,3600,SF@LAD 08/13/2018 10:10PM ET,LAD,5.42
1B/OF,Austin Slater (11070723),Austin Slater,11070723,1B/OF,3600,SF@LAD 08/13/2018 10:10PM ET,SF,5.51
OF,Steven Duggar (11070750),Steven Duggar,11070750,OF,3600,SF@LAD 08/13/2018 10:10PM ET,SF,6.77
OF,Stephen Piscotty (11070807),Stephen Piscotty,11070807,OF,3600,SEA@OAK 08/13/2018 10:05PM ET,OAK,6.94
OF,Dustin Fowler (11070852),Dustin Fowler,11070852,OF,3600,SEA@OAK 08/13/2018 10:05PM ET,OAK,5.22
1B,Eric Hosmer (11070545),Eric Hosmer,11070545,1B,3500,LAA@SD 08/13/2018 10:10PM ET,SD,6.86
3B,Kaleb Cowart (11070577),Kaleb Cowart,11070577,3B,3500,LAA@SD 08/13/2018 10:10PM ET,LAA,3.56
1B/3B,Pablo Sandoval (11070647),Pablo Sandoval,11070647,1B/3B,3500,SF@LAD 08/13/2018 10:10PM ET,SF,4.62
OF,Alex Verdugo (11070751),Alex Verdugo,11070751,OF,3500,SF@LAD 08/13/2018 10:10PM ET,LAD,6.36
